Walking
cis+⸮⸮9928,-604,14264,790,-775,-397
9732,-652,14168,166,488,117
9852,-404,14372,-39,-439,161
9784,-500,13968,156,-287,286
9876,-228,14156,-68,142,-105
10004,-308,13912,-856,63,-529
9876,-584,14200,-2138,-57,-914
9900,-952,13432,-3625,508,95
9700,-1788,13472,-2622,-2283,-167
9748,-1024,13224,-2637,-2616,-606
9936,-2060,13224,-4891,-2304,-686
12024,-2248,12852,-5338,-1243,-850
10508,-4152,13048,-8035,3279,1876
11484,-4892,11812,-2938,-1474,1163
11292,-7500,9832,-1780,-4052,4686
12796,-8920,10628,-5950,289,8982
10688,-9140,12652,3913,-5644,1822
10356,-10568,10812,1490,2467,2306
12936,-6204,9372,-1842,-3629,-3485
7392,-5884,8692,-9151,1783,-1712
4992,-7408,10216,-13532,-5128,306
11324,-12024,5908,-14209,-2714,10465
7980,-18736,5084,-4492,-8098,-122
11620,-10464,984,-4996,-14139,-5463
10436,-15676,1848,-5463,-9984,-1482
13712,-11548,-3060,-1845,-6526,-1116
12520,-11728,-1808,-365,-1961,-2184
14796,-9888,-5148,-396,-4032,-3148
14084,-10716,-5744,-3766,5403,1452
11756,-12552,-5548,-1592,4617,-2038
10804,-10388,-4288,5166,-433,-3012
12564,-8000,-4964,1598,-2610,-126
12620,-10308,-4868,44,-2365,3334
12020,-11752,-3100,-2329,1703,5516
12564,-11268,-3204,865,-4072,862
14484,-14364,-6000,627,-5964,-255
12536,-7568,-3216,3404,3444,245
8752,-16292,-2604,4311,6013,-530
9660,-10440,-1664,2494,2152,-2344
9216,-11588,-1152,2999,-4546,-4048
9376,-11036,-1580,3175,-8045,-5128
13948,-13828,-5776,-1512,-17910,-6384
15896,-9316,-8596,845,-10095,2684
13188,-10352,-5460,-6613,477,2375
11836,-11124,-5268,-2450,4648,4861
11752,-10312,-6016,616,3151,-656
10904,-10464,-5796,2133,1967,-11
11392,-10744,-7936,6036,-1068,-1967
12392,-12824,-8640,3041,-5466,-3032
9756,-6880,-3216,4708,2177,-1849
9608,-11572,-5480,-1779,-275,810
10824,-9104,-4408,-1893,-3805,-22
10248,-12552,-4656,-3743,-3843,2505
11548,-10536,-5888,-3699,-4139,-250
18780,-14820,-18652,-5485,-4252,437
11872,-11556,-11176,-7147,7418,3395
11852,-7596,-10268,-4290,6134,-3886
9496,-10336,-11352,1391,3983,21
10144,-5544,-9092,-1511,1526,-2981
10616,-8556,-10640,-6957,4700,9713
11340,-10460,-10400,1838,-1422,2310
11328,-8772,-8304,6680,-2618,-2217
14576,-13232,-15364,4213,-4527,-751
10396,-7448,-5356,106,-2080,-2628
12956,-10304,-6940,4934,788,-7853
11396,-9664,-4872,-5071,2940,619
11312,-10228,-5772,-3663,1388,1678
11176,-9768,-5824,-3241,2982,1865
11256,-10432,-6892,-2692,859,2167
12188,-9872,-7720,-1484,-2729,888
14908,-8312,-10080,-5556,-2130,5973
12996,-10220,-10164,-9892,7009,6759
10444,-10948,-11248,-3140,9053,4068
10480,-8596,-7028,2994,8138,-5283
10572,-8028,-7300,2538,2366,-146
12208,-9592,-7744,5622,-916,-1726
11260,-11856,-5888,3181,-4452,-2491
10728,-8404,-5576,-89,2317,-483
10148,-11104,-5772,489,45,-1092
10400,-9008,-3556,-901,-3151,1407
11080,-11020,-4428,-6357,-3443,7845
12404,-13956,-7816,-2628,-5135,3075
15424,-15040,-11584,-5400,-8416,-361
11836,-8572,-6768,-986,2100,-2121
12664,-13208,-9992,340,4234,-5187
11368,-10348,-9964,5289,3109,-7708
11680,-7908,-8272,-806,7440,-2889
9672,-8860,-7828,-30,4262,3280
