Fallingi)!#⸮16772,1780,-3832,-55,-878,-398
16988,1904,-3796,-1373,60,-422
16692,1776,-3572,-306,-126,-139
16732,2040,-3472,-727,-5,16
17060,2140,-3400,-1154,561,-199
16772,2172,-3020,-1894,453,83
16692,1244,-3888,201,339,-575
16276,1772,-3828,-1365,290,129
16556,2260,-3332,-4105,65,1842
17836,2832,-1868,-7153,68,3187
17832,1168,-2100,-6522,2730,2987
17184,1040,-2104,-3607,1069,2895
16652,400,-1504,-3151,687,2175
17356,-460,-964,-374,1161,1774
17464,1408,-784,-9950,4796,3499
16820,-956,268,-2849,2094,2103
17052,-720,-188,-1032,1533,1163
17520,-1024,-112,-926,1737,1163
17280,-1748,-384,3624,1480,952
17176,-1496,832,2485,251,441
16968,-2008,1224,1447,-519,923
16224,-2720,1636,3008,-954,620
16964,-2108,1072,2794,-480,449
17272,-1700,880,-285,-40,938
16216,-2816,1132,-1512,34,788
17052,-2576,1396,-1464,707,2324
16480,-3680,1872,151,-821,453
16664,-4836,1184,-1621,-1543,24
16384,-5056,568,643,-931,-940
16796,-5384,-68,-1640,-647,-283
17076,-4852,80,2952,791,1383
16920,-4732,476,2254,1213,573
16532,-4624,468,2900,2472,-78
15300,-4364,1812,2164,2539,-828
15936,-5096,2528,-397,1777,-1146
16808,-2644,5072,-2081,1427,-1492
15924,-2852,2992,-1509,954,-2687
16636,-2084,3440,-20,3561,-1767
17632,-1944,2984,3099,-836,-3628
16128,-748,5184,2441,-2334,-1146
16992,-988,4252,3402,-161,-1275
15188,-280,6260,1966,1533,-1744
15056,-116,5588,4160,1854,478
13312,484,3352,2351,2996,1982
13580,1868,948,4386,4782,1064
17996,-4216,4704,-15520,15010,-7642
10092,-5100,11108,-7867,8836,-6370
14492,10200,11008,-12729,1336,5313
14772,12588,13484,-6860,3890,24017
23944,-2712,9908,-12523,-4790,22286
11268,-28840,-12764,20322,-12261,31864
-32768,14912,32767,-32768,-1171,13494
-8888,-10988,1960,-7322,1464,22335
-7840,-8192,-8412,-14256,-21209,12223
-7668,-7808,-1236,11708,-6456,-319
-10860,-16080,1152,498,-1341,-11583
-968,-12068,2028,742,-10036,-13476
-12,-19084,4452,252,-218,-4416
-1012,-20424,9988,-2908,-238,1044
476,-16708,5812,199,651,243
2268,-14548,5684,1972,-5404,-3447
2808,-6828,672,7315,-18587,-20219
32767,-32768,32767,32767,20191,8709
3740,-15024,14656,-3035,3483,2056
12568,-9828,5896,506,-3558,-6154
12972,-8796,7776,6244,-1397,-8008
14056,-7848,8476,198,3750,722
11840,-9816,9396,-831,-1079,761
11712,-9312,8268,-958,99,377
10584,-9424,8336,646,-737,-1039
11692,-9736,8744,-279,290,56
11496,-8972,8372,-458,-81,89
11352,-9792,8732,-463,33,249
11484,-9192,8556,-183,-172,-181
11448,-9532,8720,-546,-140,180
11756,-8812,8348,32,-83,-439
11588,-9280,8792,-904,205,1073
11252,-9872,8540,-775,101,1183
10668,-10540,8324,-764,-212,1056
10708,-10240,8088,34,-285,-401
10812,-10276,8516,-97,-413,-526
11216,-10004,8068,-181,261,-118
10908,-9952,8812,-719,-10,808
10940,-10288,8252,-114,-206,-326
11152,-9992,8460,-278,19,-54
10620,-10456,8160,-62,-265,-449
10732,-10140,8752,-469,48,433
10608,-10908,8196,-129,-436,-421
11156,-10372,8108,-878,-579,-223
9312,-10684,9888,-2625,-432,768
9852,-11460,8380,-468,-2,-403
11260,-10340,7708,-1084,-594,-124
12572,-12564,8176,-4453,-4115,1707
10948,-13892,6984,-1348,3460,3397
10100,-12588,5068,-1710,4706,3502
6932,-14568,7764,-2082,3772,4516
5468,-10804,3296,-629,1836,2486
5100,-16116,5620,938,-423,1727
6500,-12928,5076,2009,-1662,-431
6244,-9992,5692,-2086,-414,-3363
5384,-15060,5976,-3407,-2093,-1608
9380,-12496,3996,2003,4644,-5442
2536,-24284,10480,2725,9124,-6350
5420,-18524,17588,15102,-4929,-12341
6560,-6744,7936,1616,-694,-5801
