Sitting
⸮)ia⸮10800,-6588,11596,-602,466,67
10200,-6780,11860,-451,383,679
10408,-6668,11348,-411,1376,2044
9980,-7956,11700,-1421,1145,1378
9880,-6540,11528,-1094,288,609
8728,-10372,12520,-2517,-543,372
9900,-7760,11704,-703,213,308
9652,-8400,11624,303,49,-333
10136,-7964,9424,-1086,343,783
9608,-9080,10880,78,-2298,-1177
9888,-9444,10464,-676,-1365,-483
8984,-8768,11640,-478,-2023,-560
11944,-8252,9272,1022,-2062,1055
11264,-8568,10328,-1245,219,-408
9412,-9148,11132,-1084,114,-474
10684,-8368,9908,248,-738,-207
10412,-8580,10476,-1076,698,-46
10012,-8832,10620,-958,66,-301
10188,-8764,10440,-873,-239,-159
10376,-9024,10336,-836,-207,-93
10444,-9404,10332,-564,70,9
9348,-9612,9532,-1130,321,85
10268,-9136,9880,-1112,-766,651
10608,-9536,10236,-1791,635,1399
9372,-9120,10672,463,1,-763
10076,-9404,10116,206,-504,-944
10704,-10172,9952,-274,-461,140
9948,-9468,11084,47,236,-93
10112,-9328,9924,1056,-447,-569
10244,-9584,9844,-393,-269,-114
10044,-9404,10208,-1317,-279,-152
10332,-9700,10152,-571,-401,-128
10296,-9672,10328,-117,238,-301
10016,-9276,9588,-226,45,-570
10192,-9516,10268,-108,-64,-189
10276,-9280,9932,-145,-127,-296
10028,-9420,10088,-104,-182,-191
10304,-9356,10144,-129,-173,-119
10192,-9336,10080,-313,-99,-272
10068,-9192,10116,-633,-35,-102
10044,-9532,10060,-631,-563,29
10552,-9552,10328,503,-222,62
10248,-8824,9896,347,153,-298
10172,-9236,10112,-314,231,-359
10156,-9360,10312,-171,-61,-370
10264,-9344,10140,150,-197,-486
10040,-9148,10008,-396,-134,-143
10376,-9060,10092,-498,-227,29
10428,-9308,9940,-265,-40,-177
10156,-9148,10036,-360,-26,-148
10480,-9300,10144,-291,-13,-131
10188,-9292,10196,-189,-62,-189
10212,-9188,10048,-357,-133,-110
10356,-9320,10036,-347,-96,-158
10228,-9536,10184,-296,-51,-100
10316,-9192,10348,-159,-170,-133
10384,-9388,9916,-315,-17,-190
10112,-9492,10020,-189,-77,-203
10264,-9228,10244,-244,-132,-146
10368,-9336,9948,-214,-2,-209
10140,-9352,10016,-249,-195,-232
10204,-9536,10068,-315,-75,-116
10172,-9404,10140,-351,-45,-129
10008,-9292,10424,-345,341,-6
10144,-9364,10276,-306,30,-212
10268,-9456,9856,-161,67,-199
10332,-9296,10160,-374,299,-11
9960,-9240,10308,-355,30,-121
10088,-9516,10080,-135,-49,-139
10104,-9428,10112,-221,-84,-189
10060,-9492,10028,-124,-47,-193
10004,-9480,10004,-326,-80,-141
10052,-9328,10060,-325,-89,-88
9996,-9552,10092,-198,-67,-107
10088,-9464,9964,-197,-19,-115
10028,-9460,10084,-436,-156,-178
10128,-9452,10152,101,29,-251
10096,-9196,10012,-216,-47,-137
10108,-9592,10004,-119,45,-170
10000,-9344,10004,-171,-44,-229
10052,-9476,10176,-303,-130,-154
9976,-9548,10168,-241,-125,-107
10128,-9456,10252,-131,-1,-166
10060,-9440,10164,-145,-80,-198
10036,-9524,10068,-188,-20,-208
10060,-9540,10268,-236,0,-193
10032,-9376,10080,-248,-47,-152
10012,-9556,10208,-259,-288,-219
10156,-9544,10140,-163,-103,-255
9912,-9588,10184,-251,-38,-218
9976,-9656,10168,-333,-162,-159
10048,-9400,10168,-233,-147,-147
10048,-9460,10136,-351,-72,-118
10204,-9480,10232,-10,-20,-208
10064,-9528,10092,-53,-76,-236
10008,-9400,10224,-145,-128,-285
9908,-9576,10168,-183,-153,-233
10036,-9420,10048,-279,-53,-150
10044,-9528,10280,-277,-37,-115
10056,-9416,10148,-292,-83,-125
9964,-9428,10424,-340,-172,-174
10104,-9400,10064,-171,71,-163
9948,-9464,10272,-245,-199,-208
9980,-9488,10348,-313,-52,-167
10000,-9316,10076,-236,-136,-142
9948,-9504,9964,-282,-120,-126
9924,-9428,10264,-275,-136,-134
10200,-9352,9988,-305,-11,-172
9956,-9404,10288,-231,-204,-133
10048,-9544,10032,-267,-45,-125
10048,-9544,10236,-287,-183,-182
9988,-9556,10208,-301,-161,-157
9956,-9456,10044,-324,-228,-87
10044,-9404,10104,-280,4,-89
10040,-9520,10264,-66,-53,-216
10020,-9432,10024,-141,33,-178
10028,-9624,10060,-159,-29,-211
10004,-9416,10156,-105,60,-185
9972,-9508,10236,-166,-57,-187
10004,-9548,10064,-311,-27,-149
9960,-9680,10212,-180,-77,-161
10072,-9368,10256,-234,-46,-169
9980,-9476,10084,-186,20,-226
10016,-9584,10084,-241,-101,-211
10064,-9656,9952,-198,1,-183
9888,-9564,10232,-303,-212,-160
10016,-9524,10052,-282,11,-68
9800,-9560,10192,-310,-169,-133
10012,-9544,10184,-241,21,-129
9916,-9348,10032,-291,-33,-163
9988,-9488,10124,-280,-101,-186
9972,-9496,10172,-233,-117,-137
10104,-9476,9992,-242,-28,-140
9964,-9416,10300,-300,-118,-254
9952,-9432,10144,-441,-216,-148
9928,-9516,9856,-318,-222,-208
9904,-9472,9984,-347,-191,-142
10012,-9396,10184,-315,-262,-193
9932,-9500,10096,-399,-171,-156
9916,-9604,10176,-269,-56,-161
9976,-9604,10044,-299,-85,-116
10080,-9688,10192,-303,-143,-156
9948,-9440,9996,-197,-14,-170
9852,-9560,10024,-254,-78,-138
9960,-9428,10080,-209,-70,-161
10124,-9572,10212,-231,-70,-139
9900,-9504,10092,-178,-71,-201
9968,-9372,10180,-220,-34,-176
9956,-9508,10204,-164,-36,-198
9932,-9424,10076,-268,-54,-182
9864,-9648,10300,-198,-53,-175
10116,-9384,9768,-68,-71,-186
9984,-9400,10088,-164,-99,-199
9984,-9516,10036,-215,-129,-183
10024,-9548,10028,-199,-157,-177
9844,-9424,10132,-264,-87,-118
9908,-9612,10068,-248,-50,-132
9916,-9484,10136,-341,-117,-139
10000,-9480,10128,-164,-3,-110
9840,-9572,10144,-196,-75,-185
9976,-9520,10144,-173,-31,-222
9940,-9532,9968,-252,62,-186
9960,-9576,10180,-128,71,-198
9888,-9440,10220,-148,-8,-163
9928,-9552,10172,-284,-72,-218
9924,-9572,10268,-229,-50,-214
9908,-9424,10244,-227,-75,-168
9972,-9496,10176,-295,-19,-201
9952,-9648,10040,-290,-142,-192
9980,-9584,10052,-266,-65,-164
9792,-9348,10204,-480,-95,-207
9796,-10036,9920,-643,-165,-28
9972,-9512,10064,156,-469,-179
9756,-9200,10140,-507,30,-47
9932,-9548,10416,-515,-102,-248
9812,-9660,10124,-84,-271,-221
9872,-9604,9996,-228,-245,-111
9964,-9508,10176,-286,-68,-175
9916,-9576,10180,-377,-193,-83
10048,-9704,10212,-227,-315,-133
9976,-9424,10056,-188,-372,-170
10044,-9744,9952,-640,-307,-15
10068,-9688,9980,-177,-821,-52
10404,-9588,9748,-726,251,91
9632,-10096,10144,-345,-33,-38
9916,-9452,9592,-2,-861,153
10012,-10116,9708,-503,-1206,184
10268,-9844,9580,-462,-1043,325
10052,-9240,8328,-3305,-2290,196
11076,-10564,8356,-3779,-2272,487
10404,-11648,8860,-2246,-1586,895
11300,-11780,6452,476,-2945,90
11016,-9844,7476,1385,-1121,380
11120,-10476,6952,-769,-215,-768
11428,-11164,6212,-1299,-517,-1009
10848,-12024,7248,-1412,-172,-396
10536,-10780,7348,-280,-614,-147
11604,-10780,5788,-193,-1720,-147
11024,-10532,7564,-398,-923,-46
11788,-11688,5516,762,-1072,-757
11752,-10680,5992,-615,430,-245
10908,-10184,7876,-1368,61,511
11784,-12024,5700,746,-208,-534
11224,-10532,7120,-444,1112,-73
11348,-10452,6752,-383,-149,-474
11496,-11516,5796,-857,-942,-531
11612,-11780,6656,366,-1672,-733
11132,-9376,7948,-102,-1446,-61
12432,-11532,5004,-1401,-430,521
11492,-11152,6372,-840,-15,-304
11448,-11252,5888,-89,-721,-128
11568,-11216,6112,-142,449,-136
11444,-11212,6084,-473,-496,18
11596,-11328,5912,-294,-218,-99
11636,-10848,5824,-324,-37,-103
11628,-11176,6132,-123,124,-308
11908,-11328,5332,-393,207,-496
11932,-10440,6104,-1069,1557,340
11356,-11008,5804,220,1444,-302
11060,-12496,5656,516,210,-25
11532,-10596,6428,4962,-56,-165
11844,-10200,6032,3171,226,-442
11748,-9956,7328,-841,4477,254
10472,-10080,9004,-1542,6076,1886
8972,-10364,10420,656,5060,-352
8860,-12136,8868,-1190,3351,-806
7584,-11560,10232,187,809,212
8624,-10896,11520,2320,-737,140
11192,-7724,9052,269,3843,764
6688,-12608,9480,37,1331,-1953
6904,-10928,11156,-2389,-292,-7
7756,-10584,11836,521,107,-93
8232,-10524,11444,2432,-461,-555
7648,-9384,11096,410,-539,-1029
8668,-9644,11016,177,233,-875
7760,-9640,11344,-753,173,-858
7932,-10248,11216,-483,-1048,-145
8452,-9812,11316,-27,-1060,104
8812,-9592,11052,-385,-260,-499
8496,-9792,11212,-182,247,-633
8232,-9448,11288,-207,-320,-386
8636,-9652,11092,-92,-564,-68
8720,-9712,11148,-124,-259,137
8664,-9772,11104,-31,-53,-55
8492,-9720,11316,-304,89,19
8348,-9692,11280,-53,17,-45
9608,-11292,11816,1853,1558,296
7088,-11176,12284,1044,3401,1115
5640,-10464,13452,1832,4163,1339
5836,-6352,13408,2570,4061,2217
3616,-9476,12496,-1678,1680,3829
3880,-9972,10848,3039,-3284,3259
9368,-6864,16624,16083,-7969,-2016
6852,-4936,13560,4691,-6274,-114
8768,-2504,14476,1340,-1149,-1775
7800,-4540,13608,-3968,-646,-807
9524,-6860,16380,-1778,352,-4305
9540,-2612,12516,473,1551,-4419
7052,-8652,15352,-3754,1837,1675
8500,-3744,13628,-1392,1069,39
7852,-5032,14216,-623,722,-305
8164,-5188,14220,-1049,-43,258
7896,-5192,15132,92,-1491,642
7468,-5624,13908,1667,-4868,-1162
9568,-3132,13076,2787,-5890,-1686
10268,-3060,13408,1390,-1224,-780
10120,-2020,13472,-941,587,-165
8844,-4216,14668,-3168,5975,3364
8880,-3436,13172,-5102,3758,1347
6832,-5816,14616,-3465,3983,703
4508,-6964,14352,-2200,-634,640
6720,-5688,14588,-1100,-495,-499
6056,-6100,14620,-337,1119,-576
6032,-6672,14852,-1296,1278,468
5796,-6664,14008,-1216,492,-852
6420,-6448,14112,-3268,989,-304
5776,-8528,14376,-2996,120,454
4732,-8820,15048,-3221,1503,1946
6860,-8436,11428,-613,124,-70
5180,-8108,11556,-1957,-2196,405
5532,-4152,11712,-3274,-929,759
5080,-6856,13808,-1559,25,1929
4952,-9376,15128,411,1458,1439
2788,-9100,13840,-53,-381,-84
6072,-8928,14468,3245,-973,-2694
8320,-6768,10388,4326,-6304,-4370
7960,-5288,12884,7602,265,-1723
6176,-7844,14252,1104,-363,914
8040,-5696,13896,877,-337,199
9000,-5996,12740,-637,-1364,-1360
6496,-6528,14440,-114,-1041,-998
9044,-4512,13340,2213,679,-2348
8084,-5540,14156,-122,-170,53
8128,-5064,13876,218,-71,-249
8276,-4576,13172,-517,302,57
8132,-5008,13976,-1211,17,-127
7868,-7408,14144,-2057,881,749
7932,-5964,14132,210,311,-279
